"filename", "language", "CMakeCache", "C++", "JSON", "CMake", "comment", "blank", "total"
"/home/xiaojiang/DEV/SparkPlayer/CMakeLists.txt", "CMake", 0, 0, 0, 4, 0, 0, 4
"/home/xiaojiang/DEV/SparkPlayer/SparkMediaControler.cpp", "C++", 0, 44, 0, 0, 31, 7, 82
"/home/xiaojiang/DEV/SparkPlayer/SparkMediaControler.h", "C++", 0, 15, 0, 0, 0, 6, 21
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/cache-v2-65905ae623fa49a6fff3.json", "JSON", 0, 0, 2695, 0, 0, 1, 2696
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/cache-v2-73ad5073cec6c2cda2aa.json", "JSON", 0, 0, -2519, 0, 0, -1, -2520
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/cmakeFiles-v1-7f2ce5d19f3980159946.json", "JSON", 0, 0, -651, 0, 0, -1, -652
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/cmakeFiles-v1-e854d4ec5fa28f7bab0b.json", "JSON", 0, 0, 675, 0, 0, 1, 676
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/codemodel-v2-ac85d17328409b4b548e.json", "JSON", 0, 0, 79, 0, 0, 1, 80
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/codemodel-v2-bda0f73899b9265093fc.json", "JSON", 0, 0, -79, 0, 0, -1, -80
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/directory-.-Debug-4f374bb98d12a43bbcf5.json", "JSON", 0, 0, 45, 0, 0, 1, 46
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/directory-.-Debug-fcbba0b81e8755bbec86.json", "JSON", 0, 0, -45, 0, 0, -1, -46
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/index-2025-03-02T07-53-03-0871.json", "JSON", 0, 0, -132, 0, 0, -1, -133
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/index-2025-03-19T07-52-22-0266.json", "JSON", 0, 0, 132, 0, 0, 1, 133
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/target-SparkPlayer-Debug-223a48d62012e72930a9.json", "JSON", 0, 0, -791, 0, 0, -1, -792
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/target-SparkPlayer-Debug-e841cddc53cf559f2909.json", "JSON", 0, 0, 890, 0, 0, 1, 891
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeCache.txt", "CMakeCache", 22, 0, 0, 0, 0, 4, 26
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/SparkPlayer.dir/DependInfo.cmake", "CMake", 0, 0, 0, 3, 0, 0, 3
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/SparkPlayer.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 6, 0, 0, 6
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/SparkPlayer_autogen.dir/AutogenInfo.json", "JSON", 0, 0, 32, 0, 0, 0, 32
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/VerifyGlobs.cmake", "CMake", 0, 0, 0, 8, 0, 0, 8
