"filename", "language", "C++", "CMake", "JSON", "comment", "blank", "total"
"/home/xiaojiang/DEV/SparkPlayer/CMakeLists.txt", "CMake", 0, 2, 0, 0, 0, 2
"/home/xiaojiang/DEV/SparkPlayer/SparkMediaControler.cpp", "C++", 163, 0, 0, 6, 35, 204
"/home/xiaojiang/DEV/SparkPlayer/SparkMediaControler.h", "C++", 21, 0, 0, 53, 9, 83
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/cmakeFiles-v1-456cf497b6b009e2b6b2.json", "JSON", 0, 0, 681, 0, 1, 682
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/cmakeFiles-v1-e854d4ec5fa28f7bab0b.json", "JSON", 0, 0, -675, 0, -1, -676
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/codemodel-v2-ac85d17328409b4b548e.json", "JSON", 0, 0, -79, 0, -1, -80
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/codemodel-v2-cb22e730040005e71c5d.json", "JSON", 0, 0, 79, 0, 1, 80
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/directory-.-Debug-4f374bb98d12a43bbcf5.json", "JSON", 0, 0, -45, 0, -1, -46
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/directory-.-Debug-89f038b4553a8e9bc6a7.json", "JSON", 0, 0, 45, 0, 1, 46
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/index-2025-03-19T07-52-22-0266.json", "JSON", 0, 0, -132, 0, -1, -133
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/index-2025-03-27T09-11-06-0494.json", "JSON", 0, 0, 132, 0, 1, 133
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/target-SparkPlayer-Debug-2eca8a6e3080b9a0c932.json", "JSON", 0, 0, 918, 0, 1, 919
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/target-SparkPlayer-Debug-e841cddc53cf559f2909.json", "JSON", 0, 0, -890, 0, -1, -891
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/SparkPlayer.dir/DependInfo.cmake", "CMake", 0, 2, 0, 0, 0, 2
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/SparkPlayer.dir/cmake_clean.cmake", "CMake", 0, 4, 0, 0, 0, 4
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/SparkPlayer_autogen.dir/AutogenInfo.json", "JSON", 0, 0, 14, 0, 0, 14
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/VerifyGlobs.cmake", "CMake", 0, 6, 0, 0, 0, 6
"/home/xiaojiang/DEV/SparkPlayer/build/SparkPlayer_autogen/mocs_compilation.cpp", "C++", 1, 0, 0, 0, 0, 1
"/home/xiaojiang/DEV/SparkPlayer/build/compile_commands.json", "JSON", 0, 0, 12, 0, 0, 12
"/home/xiaojiang/DEV/SparkPlayer/sparkplayer.cpp", "C++", 34, 0, 0, 0, 6, 40
"/home/xiaojiang/DEV/SparkPlayer/sparkplayer.h", "C++", 8, 0, 0, 0, 2, 10
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.cpp", "C++", 142, 0, 0, 9, 14, 165
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.h", "C++", 25, 0, 0, 8, 8, 41
"/home/xiaojiang/DEV/SparkPlayer/utils/ImageTools.cpp", "C++", 3, 0, 0, 0, -1, 2
"/home/xiaojiang/DEV/SparkPlayer/widgets/MainPage.cpp", "C++", 9, 0, 0, 1, 0, 10
"/home/xiaojiang/DEV/SparkPlayer/widgets/MainPage.h", "C++", 1, 0, 0, 0, 0, 1
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.cpp", "C++", 14, 0, 0, 0, 2, 16
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.h", "C++", 1, 0, 0, 0, 2, 3
"/home/xiaojiang/DEV/SparkPlayer/widgets/TimeLine.cpp", "C++", 43, 0, 0, 0, 7, 50
"/home/xiaojiang/DEV/SparkPlayer/widgets/TimeLine.h", "C++", 3, 0, 0, 0, 0, 3
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.cpp", "C++", 10, 0, 0, 0, 1, 11
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.h", "C++", -15, 0, 0, -2, -3, -20
"/home/xiaojiang/DEV/SparkPlayer/widgets/VideoBox.cpp", "C++", 62, 0, 0, 4, 10, 76
"/home/xiaojiang/DEV/SparkPlayer/widgets/VideoBox.h", "C++", 24, 0, 0, 0, 11, 35
"/home/xiaojiang/DEV/SparkPlayer/widgets/VolumeBox.cpp", "C++", 33, 0, 0, 0, 6, 39
"/home/xiaojiang/DEV/SparkPlayer/widgets/VolumeBox.h", "C++", 19, 0, 0, 0, 9, 28
"Total", "-", 601, 14, 60, 79, 118, 872
