Date : 2025-03-31 14:54:04
Directory : /home/xiaojiang/DEV/SparkPlayer
Total : 65 files,  10466 codes, 442 comments, 989 blanks, all 11897 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         12 |      5,104 |          0 |         10 |      5,114 |
| C++        |         35 |      4,024 |        375 |        737 |      5,136 |
| CMake      |         12 |        518 |         65 |        110 |        693 |
| CMakeCache |          1 |        509 |          0 |        113 |        622 |
| YAML       |          1 |        282 |          2 |         15 |        299 |
| TypeScript |          4 |         29 |          0 |          4 |         33 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |         65 |     10,466 |        442 |        989 |     11,897 |
| . (Files)                                                                                                                           |          8 |        855 |        142 |        171 |      1,168 |
| build                                                                                                                               |         31 |      7,511 |        120 |        385 |      8,016 |
| build (Files)                                                                                                                       |          3 |        675 |          7 |        123 |        805 |
| build/.cmake                                                                                                                        |         10 |      4,661 |          0 |          9 |      4,670 |
| build/.cmake/api                                                                                                                    |         10 |      4,661 |          0 |          9 |      4,670 |
| build/.cmake/api/v1                                                                                                                 |         10 |      4,661 |          0 |          9 |      4,670 |
| build/.cmake/api/v1/query                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/query/client-vscode                                                                                             |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/reply                                                                                                           |          9 |      4,660 |          0 |          9 |      4,669 |
| build/CMakeFiles                                                                                                                    |         16 |      1,707 |        112 |        251 |      2,070 |
| build/CMakeFiles (Files)                                                                                                            |          3 |        461 |         27 |         39 |        527 |
| build/CMakeFiles/3.30.5                                                                                                             |          3 |        793 |         64 |        181 |      1,038 |
| build/CMakeFiles/3.30.5 (Files)                                                                                                     |          2 |         86 |          2 |         30 |        118 |
| build/CMakeFiles/3.30.5/CompilerIdCXX                                                                                               |          1 |        707 |         62 |        151 |        920 |
| build/CMakeFiles/SparkPlayer.dir                                                                                                    |          3 |         77 |          7 |         10 |         94 |
| build/CMakeFiles/SparkPlayer_autogen.dir                                                                                            |          4 |        361 |          7 |         11 |        379 |
| build/CMakeFiles/SparkPlayer_autogen_timestamp_deps.dir                                                                             |          3 |         15 |          7 |         10 |         32 |
| build/SparkPlayer_autogen                                                                                                           |          2 |        468 |          1 |          2 |        471 |
| utils                                                                                                                               |          6 |        990 |         75 |        155 |      1,220 |
| widgets                                                                                                                             |         20 |      1,110 |        105 |        278 |      1,493 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/xiaojiang/DEV/SparkPlayer/CMakeLists.txt                                                                                      | CMake      |         83 |         10 |         19 |        112 |
| /home/xiaojiang/DEV/SparkPlayer/SparkMediaControler.cpp                                                                             | C++        |        299 |         43 |         56 |        398 |
| /home/xiaojiang/DEV/SparkPlayer/SparkMediaControler.h                                                                               | C++        |         73 |         54 |         30 |        157 |
| /home/xiaojiang/DEV/SparkPlayer/SparkPlayer_zh_CN.ts                                                                                | TypeScript |         23 |          0 |          1 |         24 |
| /home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/query/client-vscode/query.json                                                  | JSON       |          1 |          0 |          0 |          1 |
